sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0097,0.9271,0.0632
6.9,3.1,5.1,2.3,virginica,0.0127,0.0112,0.9762
5.1,2.5,3.0,1.1,versicolor,0.0269,0.9424,0.0307
4.4,2.9,,0.2,setosa,0.4854,0.3691,0.1455
5.9,3.0,5.1,1.8,virginica,0.015,0.1936,0.7914
5.5,3.5,1.3,0.2,setosa,0.9446,0.0305,0.0249
5.6,,3.6,1.3,versicolor,0.033,0.9539,0.0131
6.5,3.0,5.2,2.0,virginica,0.0114,0.0297,0.9589
5.3,3.7,1.5,0.2,setosa,0.9504,0.0257,0.024
5.1,3.4,1.5,,setosa,0.6989,0.2146,0.0864
6.1,2.8,4.0,1.3,versicolor,0.0129,0.9716,0.0155
5.5,2.4,3.7,1.0,versicolor,0.0148,0.9602,0.025
7.7,3.0,6.1,2.3,virginica,0.0152,0.0119,0.9729
6.9,3.1,4.9,1.5,versicolor,0.0172,0.7599,0.2229
6.0,2.2,5.0,1.5,virginica,0.0207,0.1901,0.7892
