id,loan_status,aproval_prob
58645,1,0.9929
58646,0,0.0192
58647,1,0.651
58648,0,0.0175
58649,0,0.0737
58650,1,0.9381
58651,0,0.0035
58652,0,0.0085
58653,0,0.2559
58654,0,0.0132
58655,0,0.058
58656,0,0.0811
58657,0,0.0359
58658,0,0.0086
58659,0,0.022
58660,0,0.1399
58661,0,0.007
58662,0,0.0019
58663,0,0.0626
58664,0,0.003
58665,0,0.0284
58666,0,0.0093
58667,0,0.0048
58668,0,0.0095
58669,0,0.0106
58670,0,0.0013
58671,0,0.2136
58672,0,0.0042
58673,1,0.8518
58674,0,0.0026
58675,0,0.0142
58676,0,0.2325
58677,0,0.0497
58678,0,0.0067
58679,0,0.3013
58680,1,0.9558
58681,0,0.0271
58682,0,0.0013
58683,0,0.0119
58684,0,0.1837
58685,0,0.1249
58686,0,0.0332
58687,1,0.5641
58688,0,0.0298
58689,0,0.2719
58690,0,0.0013
58691,0,0.0266
58692,0,0.0277
58693,0,0.0115
58694,0,0.0215
58695,1,0.9296
58696,0,0.029
58697,0,0.0349
58698,0,0.0178
58699,0,0.0142
58700,0,0.0056
58701,0,0.0083
58702,0,0.025
58703,0,0.1826
58704,0,0.3427
58705,0,0.0887
58706,0,0.0304
58707,0,0.0091
58708,0,0.0322
58709,1,0.9204
58710,0,0.0454
58711,1,0.9601
58712,0,0.0456
58713,0,0.0179
58714,0,0.0315
58715,0,0.005
58716,0,0.1965
58717,0,0.0142
58718,0,0.047
58719,0,0.0043
58720,0,0.001
58721,0,0.0653
58722,0,0.0793
58723,0,0.0207
58724,0,0.0119
58725,0,0.024
58726,0,0.0103
58727,0,0.1289
58728,0,0.1292
58729,0,0.0357
58730,0,0.006
58731,0,0.018
58732,0,0.2088
58733,0,0.0007
58734,0,0.0238
58735,0,0.0199
58736,0,0.1023
58737,0,0.0342
58738,1,0.9865
58739,0,0.0531
58740,1,0.9145
58741,0,0.0433
58742,0,0.0081
58743,0,0.022
58744,0,0.0076
58745,0,0.0082
58746,0,0.1696
58747,0,0.0075
58748,0,0.026
58749,0,0.0272
58750,0,0.017
58751,0,0.0598
58752,1,0.9013
58753,0,0.0029
58754,0,0.1046
58755,0,0.0851
58756,0,0.0159
58757,0,0.0371
58758,0,0.0076
58759,0,0.0022
58760,0,0.0014
58761,0,0.0154
58762,0,0.003
58763,1,0.9665
58764,0,0.0017
58765,0,0.0275
58766,0,0.012
58767,0,0.0138
58768,1,0.9438
58769,0,0.0042
58770,0,0.0322
58771,0,0.0606
58772,0,0.0272
58773,0,0.0304
58774,0,0.0139
58775,1,0.9316
58776,1,0.5139
58777,0,0.0111
58778,0,0.0092
58779,0,0.0443
58780,0,0.0168
58781,0,0.0309
58782,0,0.1033
58783,0,0.0306
58784,0,0.0089
58785,0,0.0071
58786,0,0.0547
58787,0,0.0726
58788,0,0.1091
58789,0,0.0241
58790,0,0.0248
58791,0,0.0863
58792,0,0.0011
58793,0,0.0423
58794,0,0.0157
58795,0,0.0229
58796,0,0.0218
58797,0,0.0144
58798,0,0.0874
58799,1,0.7967
58800,0,0.0312
58801,0,0.0034
58802,1,0.8598
58803,0,0.2691
58804,0,0.4481
58805,1,0.9052
58806,0,0.0538
58807,0,0.0109
58808,0,0.0286
58809,1,0.9505
58810,1,0.9651
58811,0,0.0218
58812,0,0.0602
58813,0,0.012
58814,0,0.015
58815,0,0.0111
58816,0,0.0167
58817,0,0.0012
58818,0,0.053
58819,0,0.0551
58820,0,0.0033
58821,0,0.0323
58822,0,0.0027
58823,0,0.0928
58824,0,0.0443
58825,0,0.0014
58826,0,0.0899
58827,0,0.0336
58828,0,0.0035
58829,0,0.1684
58830,0,0.0158
58831,0,0.0272
58832,0,0.0185
58833,0,0.0091
58834,0,0.0138
58835,1,0.9667
58836,0,0.0531
58837,0,0.0739
58838,0,0.0097
58839,0,0.0015
58840,0,0.01
58841,1,0.9687
58842,0,0.0041
58843,0,0.0137
58844,0,0.0671
58845,0,0.163
58846,0,0.0006
58847,1,0.9481
58848,0,0.1128
